1.txt,george washington,april 30 1789
2.txt,george washington,march 4 1793
3.txt,john adams,march 4 1797
4.txt,thomas jefferson,march 4 1801
5.txt,thomas jefferson,march 4 1805
6.txt,james madison,march 4 1809
7.txt,james madison,march 4 1813
8.txt,james monroe,march 4 1817
9.txt,james monroe,march 4 1821
10.txt,john quincy adams,march 4 1825
11.txt,andrew jackson,march 4 1829
12.txt,andrew jackson,march 4 1833
13.txt,martin van buren,march 4 1837
14.txt,william henry harrison,march 4 1841
15.txt,john tyler,april 9 1841
16.txt,james k. polk,march 4 1845
17.txt,zachary taylor,march 5 1849
18.txt,franklin pierce,march 4 1853
19.txt,james buchanan,march 4 1857
20.txt,abraham lincoln,march 4 1861
21.txt,abraham lincoln,march 4 1865
22.txt,andrew johnson,april 17 1865
23.txt,ulysses s. grant,march 4 1869
24.txt,ulysses s. grant,march 4 1873
25.txt,rutherford b. hayes,march 5 1877
26.txt,james a. garfield,march 4 1881
27.txt,chester a. arthur,september 22 1881
28.txt,grover cleveland,march 4 1885
29.txt,benjamin harrison,march 4 1889
30.txt,grover cleveland,march 4 1893
31.txt,william mckinley,march 4 1897
32.txt,william mckinley,march 4 1901
33.txt,theodore roosevelt,march 4 1905
34.txt,william howard taft,march 4 1909
35.txt,woodrow wilson,march 4 1913
36.txt,woodrow wilson,march 5 1917
37.txt,warren g. harding,march 4 1921
38.txt,calvin coolidge,march 4 1925
39.txt,herbert hoover,march 4 1929
40.txt,franklin d. roosevelt,march 4 1933
41.txt,franklin d. roosevelt,january 20 1937
42.txt,franklin d. roosevelt,january 20 1941
43.txt,franklin d. roosevelt,january 20 1945
44.txt,harry s. truman,january 20 1949
45.txt,dwight d. eisenhower,january 20 1953
46.txt,dwight d. eisenhower,january 21 1957
47.txt,john f. kennedy,january 20 1961
48.txt,lyndon b. johnson,january 20 1965
49.txt,richard nixon,january 20 1969
50.txt,richard nixon,january 20 1973
51.txt,jimmy carter,january 20 1977
52.txt,ronald reagan,january 20 1981
53.txt,ronald reagan,january 21 1985
54.txt,george bush,january 20 1989
55.txt,william j. clinton,january 20 1993
56.txt,william j. clinton,january 20 1997
57.txt,george w. bush,january 20 2001
58.txt,george w. bush,january 20 2005
59.txt,barack obama,january 20 2009
60.txt,barack obama,january 21 2013
61.txt,donald j. trump,january 20 2017
62.txt,joseph r. biden,january 20 2021